timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2024-05-10 00:00:00,63074.0,63094.01171875,62662.0703125,62916.16015625,2735.78515625,2024-05-10 03:59:59.999,171979872.0,146558,1347.2044677734375,84687296.0
2024-05-10 04:00:00,62916.16015625,63380.0,62660.421875,63078.01953125,4829.478515625,2024-05-10 07:59:59.999,304512768.0,178103,2821.731689453125,177939184.0
2024-05-10 08:00:00,63078.01171875,63320.0,62800.0,63299.62890625,3172.499755859375,2024-05-10 11:59:59.999,199896592.0,150552,1632.0169677734375,102844832.0
2024-05-10 12:00:00,63299.62890625,63469.12890625,60690.0,60928.01953125,13444.8896484375,2024-05-10 15:59:59.999,829927040.0,492121,6189.98388671875,382320480.0
2024-05-10 16:00:00,60928.01953125,61294.8203125,60187.12109375,60716.96875,9448.6552734375,2024-05-10 19:59:59.999,573215680.0,381257,4714.72900390625,286029280.0
2024-05-10 20:00:00,60716.9609375,61003.0,60456.91015625,60799.98828125,2898.032958984375,2024-05-10 23:59:59.999,176018512.0,152052,1361.165283203125,82673592.0
2024-05-11 00:00:00,60799.98828125,61096.26953125,60650.0,60731.8984375,2363.195068359375,2024-05-11 03:59:59.999,143812224.0,122809,1177.92626953125,71688552.0
2024-05-11 04:00:00,60731.890625,61080.0,60712.0,61018.51953125,1958.4959716796875,2024-05-11 07:59:59.999,119250192.0,123666,857.9524536132812,52243360.0
2024-05-11 08:00:00,61018.53125,61058.75,60487.08984375,60684.01171875,2622.237060546875,2024-05-11 11:59:59.999,159335760.0,129062,1025.3695068359375,62300416.0
2024-05-11 12:00:00,60684.0,61515.0,60643.94140625,61174.1796875,2983.179931640625,2024-05-11 15:59:59.999,182002480.0,158652,1537.25390625,93807384.0
2024-05-11 16:00:00,61174.1796875,61410.08984375,61016.0,61144.0,1958.453857421875,2024-05-11 19:59:59.999,119811264.0,117588,981.5484619140625,60046908.0
2024-05-11 20:00:00,61144.01171875,61154.2109375,60743.51171875,60825.98828125,1489.0076904296875,2024-05-11 23:59:59.999,90716096.0,101504,643.0451049804688,39176472.0
2024-05-12 00:00:00,60825.98828125,61104.05078125,60804.0,60930.0,1266.7943115234375,2024-05-12 03:59:59.999,77201904.0,84999,577.7996215820312,35212860.0
2024-05-12 04:00:00,60930.01171875,61120.0,60610.0,60820.0,1414.2891845703125,2024-05-12 07:59:59.999,86146136.0,87166,600.5977172851562,36586568.0
2024-05-12 08:00:00,60819.98828125,61366.58984375,60790.94140625,61146.0,2340.637451171875,2024-05-12 11:59:59.999,143008992.0,114057,1217.2452392578125,74368552.0
2024-05-12 12:00:00,61145.98828125,61587.12109375,61090.0,61419.0,2048.434814453125,2024-05-12 15:59:59.999,125505896.0,118806,1054.6689453125,64630444.0
2024-05-12 16:00:00,61419.01171875,61888.0,61109.671875,61406.1015625,3820.381591796875,2024-05-12 19:59:59.999,235030272.0,205816,1990.609619140625,122500872.0
2024-05-12 20:00:00,61406.109375,61551.4296875,60910.578125,61483.98828125,1862.59521484375,2024-05-12 23:59:59.999,114148432.0,116269,975.989990234375,59833052.0
2024-05-13 00:00:00,61484.0,61812.0,60749.2109375,61170.0,5351.68310546875,2024-05-13 03:59:59.999,327256640.0,264728,2651.063232421875,162150592.0
2024-05-13 04:00:00,61170.0,62450.0,60797.7890625,62334.37109375,4765.16796875,2024-05-13 07:59:59.999,293097056.0,199343,2503.746826171875,154103728.0
2024-05-13 08:00:00,62334.359375,63295.48046875,62334.359375,62738.0,9213.3251953125,2024-05-13 11:59:59.999,578295616.0,318362,4859.06884765625,305000736.0
